OID,TYPE,VALUE,POSSIBLE_SOH
.1.3.6.1.4.1.12148.10.7.7.5.1.2.43,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.5.1.2.44,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.5.1.2.45,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.5.1.2.46,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.5.1.2.47,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.5.1.2.48,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.5.1.2.49,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.5.1.2.50,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.5.1.2.51,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.5.1.2.52,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.6.0,Integer,52,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.1,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.2,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.3,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.4,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.5,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.6,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.7,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.8,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.9,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.10,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.11,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.12,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.13,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.14,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.15,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.16,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.17,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.18,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.19,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.20,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.21,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.22,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.23,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.24,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.25,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.26,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.27,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.28,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.29,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.30,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.31,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.32,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.33,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.34,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.35,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.36,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.37,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.38,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.39,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.40,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.41,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.42,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.43,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.44,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.45,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.46,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.47,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.48,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.49,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.50,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.51,Integer,0,
.1.3.6.1.4.1.12148.10.7.7.7.1.2.52,Integer,0,
.1.3.6.1.4.1.12148.10.7.8.0,Integer,4,
.1.3.6.1.4.1.12148.10.8.1.0,Integer,1,
.1.3.6.1.4.1.12148.10.8.2.1.0,Integer,4,
.1.3.6.1.4.1.12148.10.8.2.2.0,OctetString,[87 105 110 100 32 99 117 114 114 101 110 116 32 32 32 32],
.1.3.6.1.4.1.12148.10.8.2.4.0,Integer,0,
.1.3.6.1.4.1.12148.10.8.2.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.8.2.6.0,Integer,5000,
.1.3.6.1.4.1.12148.10.8.2.7.0,Integer,4000,
.1.3.6.1.4.1.12148.10.8.4.1.0,Integer,1,
.1.3.6.1.4.1.12148.10.8.4.2.0,OctetString,[87 105 110 100 32 101 114 114 111 114 32 32 32 32 32 32],
.1.3.6.1.4.1.12148.10.8.4.4.0,Integer,1,
.1.3.6.1.4.1.12148.10.8.4.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.8.4.6.0,Integer,2,
.1.3.6.1.4.1.12148.10.8.4.7.0,Integer,1,
.1.3.6.1.4.1.12148.10.8.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.1.0,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.2.0,Integer,52,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.1,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.2,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.3,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.4,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.5,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.6,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.7,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.8,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.9,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.10,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.11,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.12,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.13,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.14,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.15,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.16,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.17,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.18,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.19,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.20,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.21,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.22,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.23,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.24,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.25,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.26,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.27,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.28,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.29,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.30,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.31,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.32,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.33,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.34,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.35,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.36,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.37,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.38,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.39,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.40,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.41,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.42,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.43,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.44,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.45,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.46,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.47,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.48,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.49,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.50,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.51,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.3.1.2.52,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.4.0,Integer,52,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.1,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.2,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.3,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.4,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.5,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.6,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.7,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.8,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.9,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.10,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.11,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.12,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.13,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.14,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.15,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.16,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.17,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.18,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.19,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.20,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.21,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.22,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.23,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.24,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.25,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.26,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.27,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.28,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.29,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.30,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.31,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.32,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.33,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.34,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.35,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.36,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.37,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.38,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.39,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.40,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.41,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.42,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.43,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.44,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.45,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.46,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.47,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.48,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.49,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.50,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.51,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.5.1.2.52,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.6.0,Integer,52,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.1,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.2,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.3,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.4,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.5,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.6,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.7,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.8,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.9,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.10,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.11,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.12,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.13,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.14,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.15,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.16,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.17,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.18,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.19,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.20,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.21,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.22,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.23,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.24,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.25,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.26,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.27,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.28,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.29,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.30,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.31,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.32,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.33,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.34,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.35,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.36,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.37,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.38,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.39,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.40,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.41,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.42,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.43,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.44,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.45,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.46,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.47,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.48,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.49,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.50,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.51,Integer,0,
.1.3.6.1.4.1.12148.10.8.7.7.1.2.52,Integer,0,
.1.3.6.1.4.1.12148.10.9.1.0,Integer,1,
.1.3.6.1.4.1.12148.10.9.2.1.0,Integer,1,
.1.3.6.1.4.1.12148.10.9.2.2.0,OctetString,[76 111 97 100 67 117 114 114 101 110 116 32 32 32 32 32],
.1.3.6.1.4.1.12148.10.9.2.4.0,Integer,1,
.1.3.6.1.4.1.12148.10.9.2.5.0,Integer,98,
.1.3.6.1.4.1.12148.10.9.2.6.0,Integer,150,
.1.3.6.1.4.1.12148.10.9.2.7.0,Integer,120,
.1.3.6.1.4.1.12148.10.9.3.0,Integer,1,
.1.3.6.1.4.1.12148.10.9.4.0,Integer,2,
.1.3.6.1.4.1.12148.10.9.5.1.2.1,Integer,1,
.1.3.6.1.4.1.12148.10.9.5.1.2.2,Integer,2,
.1.3.6.1.4.1.12148.10.9.5.1.3.1,Integer,2,
.1.3.6.1.4.1.12148.10.9.5.1.3.2,Integer,2,
.1.3.6.1.4.1.12148.10.9.5.1.4.1,Integer,0,
.1.3.6.1.4.1.12148.10.9.5.1.4.2,Integer,0,
.1.3.6.1.4.1.12148.10.9.6.1.2.1.1,Integer,1,
.1.3.6.1.4.1.12148.10.9.6.1.2.1.2,Integer,1,
.1.3.6.1.4.1.12148.10.9.6.1.2.2.1,Integer,2,
.1.3.6.1.4.1.12148.10.9.6.1.2.2.2,Integer,2,
.1.3.6.1.4.1.12148.10.9.6.1.3.1.1,OctetString,[76 86 76 68 32 49 46 49 32],
.1.3.6.1.4.1.12148.10.9.6.1.3.1.2,OctetString,[76 86 76 68 32 49 46 50 32],
.1.3.6.1.4.1.12148.10.9.6.1.3.2.1,OctetString,[],
.1.3.6.1.4.1.12148.10.9.6.1.3.2.2,OctetString,[],
.1.3.6.1.4.1.12148.10.9.6.1.5.1.1,Integer,1,
.1.3.6.1.4.1.12148.10.9.6.1.5.1.2,Integer,1,
.1.3.6.1.4.1.12148.10.9.6.1.5.2.1,Integer,24,
.1.3.6.1.4.1.12148.10.9.6.1.5.2.2,Integer,24,
.1.3.6.1.4.1.12148.10.9.6.1.6.1.1,Integer,0,
.1.3.6.1.4.1.12148.10.9.6.1.6.1.2,Integer,0,
.1.3.6.1.4.1.12148.10.9.6.1.6.2.1,Integer,5400,
.1.3.6.1.4.1.12148.10.9.6.1.6.2.2,Integer,5400,
.1.3.6.1.4.1.12148.10.9.6.1.7.1.1,Integer,4700,
.1.3.6.1.4.1.12148.10.9.6.1.7.1.2,Integer,4600,
.1.3.6.1.4.1.12148.10.9.6.1.7.2.1,Integer,5400,
.1.3.6.1.4.1.12148.10.9.6.1.7.2.2,Integer,5400,
.1.3.6.1.4.1.12148.10.9.6.1.8.1.1,Integer,4500,
.1.3.6.1.4.1.12148.10.9.6.1.8.1.2,Integer,4400,
.1.3.6.1.4.1.12148.10.9.6.1.8.2.1,Integer,5400,
.1.3.6.1.4.1.12148.10.9.6.1.8.2.2,Integer,5400,
.1.3.6.1.4.1.12148.10.9.6.1.9.1.1,Integer,0,
.1.3.6.1.4.1.12148.10.9.6.1.9.1.2,Integer,0,
.1.3.6.1.4.1.12148.10.9.6.1.9.2.1,Integer,24,
.1.3.6.1.4.1.12148.10.9.6.1.9.2.2,Integer,24,
.1.3.6.1.4.1.12148.10.9.6.1.10.1.1,Integer,30,
.1.3.6.1.4.1.12148.10.9.6.1.10.1.2,Integer,30,
.1.3.6.1.4.1.12148.10.9.6.1.10.2.1,Integer,5400,
.1.3.6.1.4.1.12148.10.9.6.1.10.2.2,Integer,5400,
.1.3.6.1.4.1.12148.10.9.7.1.1.1,Integer,1,
.1.3.6.1.4.1.12148.10.9.7.1.1.2,Integer,2,
.1.3.6.1.4.1.12148.10.9.7.1.2.1,OctetString,[76 111 97 100 70 117 115 101 32 49 32 32],
.1.3.6.1.4.1.12148.10.9.7.1.2.2,OctetString,[],
.1.3.6.1.4.1.12148.10.9.7.1.4.1,Integer,1,
.1.3.6.1.4.1.12148.10.9.7.1.4.2,Integer,2,
.1.3.6.1.4.1.12148.10.9.7.1.5.1,Integer,0,
.1.3.6.1.4.1.12148.10.9.7.1.5.2,Integer,2,
.1.3.6.1.4.1.12148.10.9.8.1.0,Integer,127725920,
.1.3.6.1.4.1.12148.10.9.8.2.0,Integer,52,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.1,Integer,4923,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.2,Integer,4739,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.3,Integer,3361,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.4,Integer,3765,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.5,Integer,4809,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.6,Integer,4697,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.7,Integer,4586,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.8,Integer,4331,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.9,Integer,2510,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.10,Integer,2186,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.11,Integer,2084,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.12,Integer,2933,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.13,Integer,3877,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.14,Integer,4156,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.15,Integer,4605,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.16,Integer,3288,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.17,Integer,3799,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.18,Integer,4918,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.19,Integer,4977,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.20,Integer,4945,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.21,Integer,4393,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.22,Integer,2941,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.23,Integer,4271,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.24,Integer,4863,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.25,Integer,4960,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.26,Integer,4889,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.27,Integer,3862,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.28,Integer,3065,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.29,Integer,4777,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.30,Integer,4696,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.31,Integer,4674,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.32,Integer,4638,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.33,Integer,2588,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.34,Integer,2164,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.35,Integer,2053,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.36,Integer,2794,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.37,Integer,3381,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.38,Integer,3954,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.39,Integer,4119,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.40,Integer,3236,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.41,Integer,3962,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.42,Integer,4986,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.43,Integer,4975,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.44,Integer,4975,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.45,Integer,4235,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.46,Integer,2978,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.47,Integer,3993,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.48,Integer,4916,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.49,Integer,4862,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.50,Integer,4868,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.51,Integer,4077,
.1.3.6.1.4.1.12148.10.9.8.3.1.2.52,Integer,0,
.1.3.6.1.4.1.12148.10.9.8.4.0,Integer,52,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.1,Integer,95,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.2,Integer,96,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.3,Integer,96,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.4,Integer,96,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.5,Integer,101,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.6,Integer,103,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.7,Integer,98,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.8,Integer,97,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.9,Integer,99,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.10,Integer,99,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.11,Integer,100,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.12,Integer,98,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.13,Integer,103,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.14,Integer,98,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.15,Integer,101,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.16,Integer,100,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.17,Integer,96,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.18,Integer,97,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.19,Integer,99,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.20,Integer,100,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.21,Integer,97,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.22,Integer,98,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.23,Integer,98,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.24,Integer,97,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.25,Integer,95,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.26,Integer,99,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.27,Integer,102,
.1.3.6.1.4.1.12148.10.9.8.5.1.2.28,Integer,98,
