OID,TYPE,VALUE,POSSIBLE_SOH
.1.3.6.1.4.1.12148.10.3.6.3.1.2.35,Integer,441,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.36,Integer,348,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.37,Integer,394,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.38,Integer,430,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.39,Integer,401,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.40,Integer,310,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.41,Integer,328,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.42,Integer,399,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.43,Integer,438,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.44,Integer,372,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.45,Integer,450,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.46,Integer,364,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.47,Integer,213,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.48,Integer,261,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.49,Integer,431,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.50,Integer,367,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.51,Integer,432,
.1.3.6.1.4.1.12148.10.3.6.3.1.2.52,Integer,314,
.1.3.6.1.4.1.12148.10.3.6.4.0,Integer,52,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.1,Integer,48,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.2,Integer,47,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.3,Integer,50,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.4,Integer,50,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.5,Integer,44,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.6,Integer,42,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.7,Integer,43,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.8,Integer,46,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.9,Integer,51,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.10,Integer,44,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.11,Integer,50,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.12,Integer,46,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.13,Integer,44,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.14,Integer,47,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.15,Integer,52,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.16,Integer,49,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.17,Integer,29,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.18,Integer,46,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.19,Integer,50,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.20,Integer,44,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.21,Integer,45,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.22,Integer,44,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.23,Integer,46,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.24,Integer,55,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.25,Integer,51,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.26,Integer,53,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.27,Integer,46,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.28,Integer,53,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.29,Integer,53,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.30,Integer,57,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.31,Integer,58,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.32,Integer,61,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.33,Integer,60,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.34,Integer,8,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.35,Integer,52,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.36,Integer,55,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.37,Integer,54,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.38,Integer,54,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.39,Integer,53,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.40,Integer,49,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.41,Integer,62,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.42,Integer,61,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.43,Integer,64,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.44,Integer,61,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.45,Integer,63,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.46,Integer,58,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.47,Integer,57,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.48,Integer,69,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.49,Integer,57,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.50,Integer,64,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.51,Integer,69,
.1.3.6.1.4.1.12148.10.3.6.5.1.2.52,Integer,42,
.1.3.6.1.4.1.12148.10.3.6.6.0,Integer,52,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.1,Integer,206,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.2,Integer,202,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.3,Integer,199,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.4,Integer,197,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.5,Integer,185,
