oid,type,value
.1.3.6.1.2.1.1.1.0,NoSuchObject,<nil>
.1.3.6.1.2.1.1.2.0,NoSuchObject,<nil>
.1.3.6.1.2.1.1.3.0,NoSuchObject,<nil>
.1.3.6.1.2.1.1.4.0,NoSuchObject,<nil>
.1.3.6.1.2.1.1.5.0,NoSuchObject,<nil>
.1.3.6.1.2.1.1.6.0,NoSuchObject,<nil>
.1.3.6.1.4.1.12148.10.3.1.0,Integer,1
