oid,type,value
.1.3.6.1.4.1.12148.10.4.23.3.1.2.44,Integer,0
.1.3.6.1.4.1.12148.10.4.23.3.1.2.45,Integer,0
.1.3.6.1.4.1.12148.10.4.23.3.1.2.46,Integer,0
.1.3.6.1.4.1.12148.10.4.23.3.1.2.47,Integer,0
.1.3.6.1.4.1.12148.10.4.23.3.1.2.48,Integer,0
.1.3.6.1.4.1.12148.10.4.23.3.1.2.49,Integer,0
.1.3.6.1.4.1.12148.10.4.23.3.1.2.50,Integer,0
.1.3.6.1.4.1.12148.10.4.23.3.1.2.51,Integer,0
.1.3.6.1.4.1.12148.10.4.23.3.1.2.52,Integer,0
.1.3.6.1.4.1.12148.10.4.23.4.0,Integer,52
.1.3.6.1.4.1.12148.10.4.23.5.1.2.1,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.2,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.3,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.4,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.5,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.6,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.7,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.8,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.9,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.10,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.11,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.12,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.13,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.14,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.15,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.16,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.17,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.18,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.19,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.20,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.21,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.22,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.23,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.24,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.25,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.26,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.27,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.28,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.29,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.30,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.31,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.32,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.33,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.34,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.35,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.36,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.37,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.38,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.39,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.40,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.41,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.42,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.43,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.44,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.45,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.46,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.47,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.48,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.49,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.50,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.51,Integer,0
.1.3.6.1.4.1.12148.10.4.23.5.1.2.52,Integer,0
.1.3.6.1.4.1.12148.10.4.23.6.0,Integer,52
.1.3.6.1.4.1.12148.10.4.23.7.1.2.1,Integer,0
.1.3.6.1.4.1.12148.10.4.23.7.1.2.2,Integer,0
.1.3.6.1.4.1.12148.10.4.23.7.1.2.3,Integer,0
.1.3.6.1.4.1.12148.10.4.23.7.1.2.4,Integer,0
.1.3.6.1.4.1.12148.10.4.23.7.1.2.5,Integer,0
.1.3.6.1.4.1.12148.10.4.23.7.1.2.6,Integer,0
.1.3.6.1.4.1.12148.10.4.23.7.1.2.7,Integer,0
.1.3.6.1.4.1.12148.10.4.23.7.1.2.8,Integer,0
