oid,type,value
.1.3.6.1.4.1.12148.10.10.20.7.1.2.29,Integer,23
.1.3.6.1.4.1.12148.10.10.20.7.1.2.30,Integer,23
.1.3.6.1.4.1.12148.10.10.20.7.1.2.31,Integer,23
.1.3.6.1.4.1.12148.10.10.20.7.1.2.32,Integer,23
.1.3.6.1.4.1.12148.10.10.20.7.1.2.33,Integer,23
.1.3.6.1.4.1.12148.10.10.20.7.1.2.34,Integer,23
.1.3.6.1.4.1.12148.10.10.20.7.1.2.35,Integer,23
.1.3.6.1.4.1.12148.10.10.20.7.1.2.36,Integer,23
.1.3.6.1.4.1.12148.10.10.20.7.1.2.37,Integer,23
.1.3.6.1.4.1.12148.10.10.20.7.1.2.38,Integer,22
.1.3.6.1.4.1.12148.10.10.20.7.1.2.39,Integer,20
.1.3.6.1.4.1.12148.10.10.20.7.1.2.40,Integer,19
.1.3.6.1.4.1.12148.10.10.20.7.1.2.41,Integer,19
.1.3.6.1.4.1.12148.10.10.20.7.1.2.42,Integer,19
.1.3.6.1.4.1.12148.10.10.20.7.1.2.43,Integer,18
.1.3.6.1.4.1.12148.10.10.20.7.1.2.44,Integer,27
.1.3.6.1.4.1.12148.10.10.20.7.1.2.45,Integer,18
.1.3.6.1.4.1.12148.10.10.20.7.1.2.46,Integer,28
.1.3.6.1.4.1.12148.10.10.20.7.1.2.47,Integer,19
.1.3.6.1.4.1.12148.10.10.20.7.1.2.48,Integer,18
.1.3.6.1.4.1.12148.10.10.20.7.1.2.49,Integer,18
.1.3.6.1.4.1.12148.10.10.20.7.1.2.50,Integer,19
.1.3.6.1.4.1.12148.10.10.20.7.1.2.51,Integer,15
.1.3.6.1.4.1.12148.10.10.20.7.1.2.52,Integer,11
.1.3.6.1.4.1.12148.10.10.21.1.0,Integer,26
.1.3.6.1.4.1.12148.10.10.21.2.0,Integer,52
.1.3.6.1.4.1.12148.10.10.21.3.1.2.1,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.2,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.3,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.4,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.5,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.6,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.7,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.8,Integer,1
.1.3.6.1.4.1.12148.10.10.21.3.1.2.9,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.10,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.11,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.12,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.13,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.14,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.15,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.16,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.17,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.18,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.19,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.20,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.21,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.22,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.23,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.24,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.25,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.26,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.27,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.28,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.29,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.30,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.31,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.32,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.33,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.34,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.35,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.36,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.37,Integer,2
.1.3.6.1.4.1.12148.10.10.21.3.1.2.38,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.39,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.40,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.41,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.42,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.43,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.44,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.45,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.46,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.47,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.48,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.49,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.50,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.51,Integer,0
.1.3.6.1.4.1.12148.10.10.21.3.1.2.52,Integer,0
.1.3.6.1.4.1.12148.10.10.21.4.0,Integer,52
.1.3.6.1.4.1.12148.10.10.21.5.1.2.1,Integer,1
.1.3.6.1.4.1.12148.10.10.21.5.1.2.2,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.3,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.4,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.5,Integer,2
.1.3.6.1.4.1.12148.10.10.21.5.1.2.6,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.7,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.8,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.9,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.10,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.11,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.12,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.13,Integer,2
.1.3.6.1.4.1.12148.10.10.21.5.1.2.14,Integer,3
.1.3.6.1.4.1.12148.10.10.21.5.1.2.15,Integer,1
.1.3.6.1.4.1.12148.10.10.21.5.1.2.16,Integer,1
.1.3.6.1.4.1.12148.10.10.21.5.1.2.17,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.18,Integer,4
.1.3.6.1.4.1.12148.10.10.21.5.1.2.19,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.20,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.21,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.22,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.23,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.24,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.25,Integer,1
.1.3.6.1.4.1.12148.10.10.21.5.1.2.26,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.27,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.28,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.29,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.30,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.31,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.32,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.33,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.34,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.35,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.36,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.37,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.38,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.39,Integer,1
.1.3.6.1.4.1.12148.10.10.21.5.1.2.40,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.41,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.42,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.43,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.44,Integer,1
.1.3.6.1.4.1.12148.10.10.21.5.1.2.45,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.46,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.47,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.48,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.49,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.50,Integer,1
.1.3.6.1.4.1.12148.10.10.21.5.1.2.51,Integer,0
.1.3.6.1.4.1.12148.10.10.21.5.1.2.52,Integer,0
.1.3.6.1.4.1.12148.10.10.21.6.0,Integer,52
.1.3.6.1.4.1.12148.10.10.21.7.1.2.1,Integer,2
.1.3.6.1.4.1.12148.10.10.21.7.1.2.2,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.3,Integer,6
.1.3.6.1.4.1.12148.10.10.21.7.1.2.4,Integer,5
.1.3.6.1.4.1.12148.10.10.21.7.1.2.5,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.6,Integer,1
.1.3.6.1.4.1.12148.10.10.21.7.1.2.7,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.8,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.9,Integer,1
.1.3.6.1.4.1.12148.10.10.21.7.1.2.10,Integer,1
.1.3.6.1.4.1.12148.10.10.21.7.1.2.11,Integer,1
.1.3.6.1.4.1.12148.10.10.21.7.1.2.12,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.13,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.14,Integer,1
.1.3.6.1.4.1.12148.10.10.21.7.1.2.15,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.16,Integer,1
.1.3.6.1.4.1.12148.10.10.21.7.1.2.17,Integer,3
.1.3.6.1.4.1.12148.10.10.21.7.1.2.18,Integer,3
.1.3.6.1.4.1.12148.10.10.21.7.1.2.19,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.20,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.21,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.22,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.23,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.24,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.25,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.26,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.27,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.28,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.29,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.30,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.31,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.32,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.33,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.34,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.35,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.36,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.37,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.38,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.39,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.40,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.41,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.42,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.43,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.44,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.45,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.46,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.47,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.48,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.49,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.50,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.51,Integer,0
.1.3.6.1.4.1.12148.10.10.21.7.1.2.52,Integer,1
.1.3.6.1.4.1.12148.10.10.22.1.0,Integer,5650
.1.3.6.1.4.1.12148.10.10.22.2.0,Integer,0
.1.3.6.1.4.1.12148.10.10.22.3.0,Integer,10
.1.3.6.1.4.1.12148.10.10.22.4.0,Integer,120
.1.3.6.1.4.1.12148.10.10.23.1.0,Integer,4
.1.3.6.1.4.1.12148.10.10.23.2.0,OctetString,"""Ah Charged      """
.1.3.6.1.4.1.12148.10.10.23.4.0,Integer,0
.1.3.6.1.4.1.12148.10.10.23.5.0,Integer,397
.1.3.6.1.4.1.12148.10.10.23.6.0,Integer,900
.1.3.6.1.4.1.12148.10.10.23.7.0,Integer,1000
.1.3.6.1.4.1.12148.10.10.24.1.0,Integer,4
.1.3.6.1.4.1.12148.10.10.24.2.0,OctetString,"""Ah Discharged   """
.1.3.6.1.4.1.12148.10.10.24.4.0,Integer,0
.1.3.6.1.4.1.12148.10.10.24.5.0,Integer,93
.1.3.6.1.4.1.12148.10.10.24.6.0,Integer,900
.1.3.6.1.4.1.12148.10.10.24.7.0,Integer,1000
.1.3.6.1.4.1.12148.10.10.25.1.0,Gauge32,437
.1.3.6.1.4.1.12148.10.10.25.2.0,Integer,52
.1.3.6.1.4.1.12148.10.10.25.3.1.2.1,Integer,11
.1.3.6.1.4.1.12148.10.10.25.3.1.2.2,Integer,13
.1.3.6.1.4.1.12148.10.10.25.3.1.2.3,Integer,13
.1.3.6.1.4.1.12148.10.10.25.3.1.2.4,Integer,5
.1.3.6.1.4.1.12148.10.10.25.3.1.2.5,Integer,7
.1.3.6.1.4.1.12148.10.10.25.3.1.2.6,Integer,10
.1.3.6.1.4.1.12148.10.10.25.3.1.2.7,Integer,11
.1.3.6.1.4.1.12148.10.10.25.3.1.2.8,Integer,39
.1.3.6.1.4.1.12148.10.10.25.3.1.2.9,Integer,14
.1.3.6.1.4.1.12148.10.10.25.3.1.2.10,Integer,24
.1.3.6.1.4.1.12148.10.10.25.3.1.2.11,Integer,11
.1.3.6.1.4.1.12148.10.10.25.3.1.2.12,Integer,7
.1.3.6.1.4.1.12148.10.10.25.3.1.2.13,Integer,1
.1.3.6.1.4.1.12148.10.10.25.3.1.2.14,Integer,131
.1.3.6.1.4.1.12148.10.10.25.3.1.2.15,Integer,10
.1.3.6.1.4.1.12148.10.10.25.3.1.2.16,Integer,11
.1.3.6.1.4.1.12148.10.10.25.3.1.2.17,Integer,13
.1.3.6.1.4.1.12148.10.10.25.3.1.2.18,Integer,3
.1.3.6.1.4.1.12148.10.10.25.3.1.2.19,Integer,7
.1.3.6.1.4.1.12148.10.10.25.3.1.2.20,Integer,8
.1.3.6.1.4.1.12148.10.10.25.3.1.2.21,Integer,8
.1.3.6.1.4.1.12148.10.10.25.3.1.2.22,Integer,11
.1.3.6.1.4.1.12148.10.10.25.3.1.2.23,Integer,11
.1.3.6.1.4.1.12148.10.10.25.3.1.2.24,Integer,8
.1.3.6.1.4.1.12148.10.10.25.3.1.2.25,Integer,14
.1.3.6.1.4.1.12148.10.10.25.3.1.2.26,Integer,4
.1.3.6.1.4.1.12148.10.10.25.3.1.2.27,Integer,6
.1.3.6.1.4.1.12148.10.10.25.3.1.2.28,Integer,10
.1.3.6.1.4.1.12148.10.10.25.3.1.2.29,Integer,7
.1.3.6.1.4.1.12148.10.10.25.3.1.2.30,Integer,22
.1.3.6.1.4.1.12148.10.10.25.3.1.2.31,Integer,15
.1.3.6.1.4.1.12148.10.10.25.3.1.2.32,Integer,9
.1.3.6.1.4.1.12148.10.10.25.3.1.2.33,Integer,9
.1.3.6.1.4.1.12148.10.10.25.3.1.2.34,Integer,10
.1.3.6.1.4.1.12148.10.10.25.3.1.2.35,Integer,16
.1.3.6.1.4.1.12148.10.10.25.3.1.2.36,Integer,9
.1.3.6.1.4.1.12148.10.10.25.3.1.2.37,Integer,32
.1.3.6.1.4.1.12148.10.10.25.3.1.2.38,Integer,143
.1.3.6.1.4.1.12148.10.10.25.3.1.2.39,Integer,12
.1.3.6.1.4.1.12148.10.10.25.3.1.2.40,Integer,15
.1.3.6.1.4.1.12148.10.10.25.3.1.2.41,Integer,13
.1.3.6.1.4.1.12148.10.10.25.3.1.2.42,Integer,17
.1.3.6.1.4.1.12148.10.10.25.3.1.2.43,Integer,7
.1.3.6.1.4.1.12148.10.10.25.3.1.2.44,Integer,14
.1.3.6.1.4.1.12148.10.10.25.3.1.2.45,Integer,14
.1.3.6.1.4.1.12148.10.10.25.3.1.2.46,Integer,10
.1.3.6.1.4.1.12148.10.10.25.3.1.2.47,Integer,2
.1.3.6.1.4.1.12148.10.10.25.3.1.2.48,Integer,7
.1.3.6.1.4.1.12148.10.10.25.3.1.2.49,Integer,8
.1.3.6.1.4.1.12148.10.10.25.3.1.2.50,Integer,13
.1.3.6.1.4.1.12148.10.10.25.3.1.2.51,Integer,14
.1.3.6.1.4.1.12148.10.10.25.3.1.2.52,Integer,3
.1.3.6.1.4.1.12148.10.10.25.4.0,Integer,52
.1.3.6.1.4.1.12148.10.10.25.5.1.2.1,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.2,Integer,3
.1.3.6.1.4.1.12148.10.10.25.5.1.2.3,Integer,0
.1.3.6.1.4.1.12148.10.10.25.5.1.2.4,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.5,Integer,3
.1.3.6.1.4.1.12148.10.10.25.5.1.2.6,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.7,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.8,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.9,Integer,0
.1.3.6.1.4.1.12148.10.10.25.5.1.2.10,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.11,Integer,0
.1.3.6.1.4.1.12148.10.10.25.5.1.2.12,Integer,3
.1.3.6.1.4.1.12148.10.10.25.5.1.2.13,Integer,5
.1.3.6.1.4.1.12148.10.10.25.5.1.2.14,Integer,5
.1.3.6.1.4.1.12148.10.10.25.5.1.2.15,Integer,4
.1.3.6.1.4.1.12148.10.10.25.5.1.2.16,Integer,2
.1.3.6.1.4.1.12148.10.10.25.5.1.2.17,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.18,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.19,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.20,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.21,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.22,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.23,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.24,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.25,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.26,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.27,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.28,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.29,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.30,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.31,Integer,0
.1.3.6.1.4.1.12148.10.10.25.5.1.2.32,Integer,0
.1.3.6.1.4.1.12148.10.10.25.5.1.2.33,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.34,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.35,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.36,Integer,0
.1.3.6.1.4.1.12148.10.10.25.5.1.2.37,Integer,0
.1.3.6.1.4.1.12148.10.10.25.5.1.2.38,Integer,1
.1.3.6.1.4.1.12148.10.10.25.5.1.2.39,Integer,3
.1.3.6.1.4.1.12148.10.10.25.5.1.2.40,Integer,2
.1.3.6.1.4.1.12148.10.10.25.5.1.2.41,Integer,2
.1.3.6.1.4.1.12148.10.10.25.5.1.2.42,Integer,2
.1.3.6.1.4.1.12148.10.10.25.5.1.2.43,Integer,2
.1.3.6.1.4.1.12148.10.10.25.5.1.2.44,Integer,3
.1.3.6.1.4.1.12148.10.10.25.5.1.2.45,Integer,2
.1.3.6.1.4.1.12148.10.10.25.5.1.2.46,Integer,3
.1.3.6.1.4.1.12148.10.10.25.5.1.2.47,Integer,2
.1.3.6.1.4.1.12148.10.10.25.5.1.2.48,Integer,2
.1.3.6.1.4.1.12148.10.10.25.5.1.2.49,Integer,2
.1.3.6.1.4.1.12148.10.10.25.5.1.2.50,Integer,2
.1.3.6.1.4.1.12148.10.10.25.5.1.2.51,Integer,7
.1.3.6.1.4.1.12148.10.10.25.5.1.2.52,Integer,0
.1.3.6.1.4.1.12148.10.10.25.6.0,Integer,52
.1.3.6.1.4.1.12148.10.10.25.7.1.2.1,Integer,7
.1.3.6.1.4.1.12148.10.10.25.7.1.2.2,Integer,4
.1.3.6.1.4.1.12148.10.10.25.7.1.2.3,Integer,17
.1.3.6.1.4.1.12148.10.10.25.7.1.2.4,Integer,7
.1.3.6.1.4.1.12148.10.10.25.7.1.2.5,Integer,4
.1.3.6.1.4.1.12148.10.10.25.7.1.2.6,Integer,6
.1.3.6.1.4.1.12148.10.10.25.7.1.2.7,Integer,5
.1.3.6.1.4.1.12148.10.10.25.7.1.2.8,Integer,4
.1.3.6.1.4.1.12148.10.10.25.7.1.2.9,Integer,9
.1.3.6.1.4.1.12148.10.10.25.7.1.2.10,Integer,12
.1.3.6.1.4.1.12148.10.10.25.7.1.2.11,Integer,12
.1.3.6.1.4.1.12148.10.10.25.7.1.2.12,Integer,50
.1.3.6.1.4.1.12148.10.10.25.7.1.2.13,Integer,82
.1.3.6.1.4.1.12148.10.10.25.7.1.2.14,Integer,99
.1.3.6.1.4.1.12148.10.10.25.7.1.2.15,Integer,12
.1.3.6.1.4.1.12148.10.10.25.7.1.2.16,Integer,17
.1.3.6.1.4.1.12148.10.10.25.7.1.2.17,Integer,21
.1.3.6.1.4.1.12148.10.10.25.7.1.2.18,Integer,22
.1.3.6.1.4.1.12148.10.10.25.7.1.2.19,Integer,19
.1.3.6.1.4.1.12148.10.10.25.7.1.2.20,Integer,15
.1.3.6.1.4.1.12148.10.10.25.7.1.2.21,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.22,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.23,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.24,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.25,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.26,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.27,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.28,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.29,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.30,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.31,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.32,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.33,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.34,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.35,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.36,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.37,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.38,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.39,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.40,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.41,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.42,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.43,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.44,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.45,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.46,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.47,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.48,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.49,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.50,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.51,Integer,0
.1.3.6.1.4.1.12148.10.10.25.7.1.2.52,Integer,5
.1.3.6.1.4.1.12148.10.10.26.1.0,Integer,0
.1.3.6.1.4.1.12148.10.10.26.2.1.0,Integer,4
.1.3.6.1.4.1.12148.10.10.26.2.2.0,OctetString,"""BatteryError    """
.1.3.6.1.4.1.12148.10.10.26.2.4.0,Integer,0
.1.3.6.1.4.1.12148.10.10.26.2.5.0,Integer,0
.1.3.6.1.4.1.12148.10.10.26.2.6.0,Integer,2
.1.3.6.1.4.1.12148.10.10.26.2.7.0,Integer,1
.1.3.6.1.4.1.12148.10.10.26.3.1.0,Integer,4
.1.3.6.1.4.1.12148.10.10.26.3.2.0,OctetString,"""BatteryCommErr. """
.1.3.6.1.4.1.12148.10.10.26.3.4.0,Integer,0
.1.3.6.1.4.1.12148.10.10.26.3.5.0,Integer,0
.1.3.6.1.4.1.12148.10.10.26.3.6.0,Integer,1
.1.3.6.1.4.1.12148.10.10.26.3.7.0,Integer,1
.1.3.6.1.4.1.12148.10.11.1.1.2.1,Integer,3
.1.3.6.1.4.1.12148.10.11.2.1.2.1.1,Integer,4
.1.3.6.1.4.1.12148.10.11.2.1.2.1.2,Integer,4
.1.3.6.1.4.1.12148.10.11.2.1.2.1.3,Integer,4
.1.3.6.1.4.1.12148.10.11.2.1.3.1.1,OctetString,"""BatteryTemp"""
.1.3.6.1.4.1.12148.10.11.2.1.3.1.2,OctetString,"""ProgInput 1.2 """
.1.3.6.1.4.1.12148.10.11.2.1.3.1.3,OctetString,"""ProgInput 1.3 """
.1.3.6.1.4.1.12148.10.11.2.1.5.1.1,Integer,0
.1.3.6.1.4.1.12148.10.11.2.1.5.1.2,Integer,0
.1.3.6.1.4.1.12148.10.11.2.1.5.1.3,Integer,0
.1.3.6.1.4.1.12148.10.11.2.1.6.1.1,Integer,5
.1.3.6.1.4.1.12148.10.11.2.1.6.1.2,Integer,5
.1.3.6.1.4.1.12148.10.11.2.1.6.1.3,Integer,9
.1.3.6.1.4.1.12148.10.11.2.1.7.1.1,Integer,2
.1.3.6.1.4.1.12148.10.11.2.1.7.1.2,Integer,2
.1.3.6.1.4.1.12148.10.11.2.1.7.1.3,Integer,2
